Aspect_Ratio,Box_Office,Director,Genre,Link,Name,Original_Language,Producer,Production_Co,Rating,Release_Date_Streaming,Release_Date_Theaters,Runtime,Sound_Mix,Writer
Scope (2.35:1),$146.8M,Matt Reeves,"action, adventure, sci fi",https://www.rottentomatoes.com//m/war_for_the_planet_of_the_apes,War for the Planet of the Apes,English,Peter Chernin,"20th Century Fox, Bluegrass Films, Chernin Entertainment",PG-13 (Sequences of Sci-Fi Violence|Action|Some Disturbing Images|Thematic Elements),"Apr 1, 2019","Jul 14, 2017",2h 22m,Dolby Atmos,Matt Reeves
Scope (2.35:1),$159.2M,Sam Mendes,"war, drama, history",https://www.rottentomatoes.com//m/1917_2019,1917,English,Sam Mendes,"Neal Street Productions, Amblin Entertainment",R (Some Disturbing Images|Language|Violence),"Dec 25, 2019","Jan 10, 2020",1h 59m,Dolby Atmos,Sam Mendes
Scope (2.35:1),$42.4M,Steve McQueen,"crime, mystery and thriller, drama",https://www.rottentomatoes.com//m/widows_2018,Widows,English,Iain Canning,"Film4, See-Saw Films",R (Some Sexual Content/Nudity|Language Throughout|Violence),"Jan 22, 2019","Nov 16, 2018",2h 8m,,Steve McQueen
Scope (2.35:1),$5.8M,Sean Baker,drama,https://www.rottentomatoes.com//m/the_florida_project,The Florida Project,English,Sean Baker,"Cre Film, June Pictures, Freestyle Picture Company, Cinereach",R (Language Throughout|Disturbing Behavior|Sexual References|Some Drug Material),"Jan 30, 2018","Oct 6, 2017",1h 55m,,Sean Baker
Flat (1.66:1),,Richard Lester,"musical, comedy",https://www.rottentomatoes.com//m/beatles_a_hard_days_night,A Hard Day's Night,English,Walter Shenson,Proscenium Films,G,"Aug 10, 2016","Aug 11, 1964",1h 23m,"Stereo, Surround",Alun Owen
Flat (1.85:1),,Francis Ford Coppola,"crime, drama",https://www.rottentomatoes.com//m/godfather_part_ii,"The Godfather, Part II",English,Francis Ford Coppola,"Paramount Pictures, Coppola Company",R,"Aug 1, 2013","Dec 12, 1974",3h 20m,Mono,Francis Ford Coppola
Scope (2.35:1),$64.3M,Leigh Whannell,"horror, mystery and thriller",https://www.rottentomatoes.com//m/the_invisible_man_2020,The Invisible Man,English,Jason Blum,"Dark Universe, Universal Pictures, Blumhouse Productions, Goalpost Pictures",R (Some Strong Bloody Violence|Language),"Mar 20, 2020","Feb 28, 2020",2h 4m,Dolby Atmos,Leigh Whannell
Flat (1.37:1),,Billy Wilder,drama,https://www.rottentomatoes.com//m/sunset_boulevard,Sunset Blvd.,English,Charles Brackett,Paramount Pictures,,"Aug 10, 2016","Aug 10, 1950",1h 50m,,Charles Brackett
Scope (2.35:1),$107.8M,Edgar Wright,"mystery and thriller, action",https://www.rottentomatoes.com//m/baby_driver,Baby Driver,English,Nira Park,"Working Title Films, Big Talk Pictures",R (Violence|Language Throughout),"Jul 10, 2017","Jun 28, 2017",1h 53m,"Dolby Atmos, Dolby Digital",Edgar Wright
Scope (2.35:1),$334.4M,Jon Watts,"adventure, fantasy, comedy, action",https://www.rottentomatoes.com//m/spider_man_homecoming,Spider-Man: Homecoming,English,Kevin Feige,"Columbia Pictures, Marvel Studios",PG-13 (Sci-Fi Action Violence|Brief Suggestive Comments|Some Language),"Jul 10, 2017","Jul 7, 2017",2h 13m,"DTS, SDDS, Dolby Atmos",Jonathan Goldstein
,$47.7M,Kenneth Lonergan,drama,https://www.rottentomatoes.com//m/manchester_by_the_sea,Manchester by the Sea,English,Matt Damon,"Roadside Attractions, Big Indie Pictures",R (Some Sexual Content|Language Throughout),"Feb 7, 2017","Dec 16, 2016",2h 17m,,Kenneth Lonergan
,$55.9K,Gillo Pontecorvo,"war, drama, history",https://www.rottentomatoes.com//m/the_battle_of_algiers,The Battle of Algiers,Arabic,Antonio Musu,"Cashbah, Igor Film",,"Jan 14, 2017","Sep 20, 1967",2h 5m,Mono,
Flat (1.85:1),$3.3M,Kore-Eda Hirokazu,"drama, adventure, crime",https://www.rottentomatoes.com//m/shoplifters,Shoplifters,Japanese,Kaoru Matsuzaki,AOI Pro,R (Some Sexual Content and Nudity),"Feb 12, 2019","Nov 23, 2018",2h 1m,Dolby Digital,Kore-Eda Hirokazu
